sampleName	cellAnno	cellIden
human1_lib1.final_cell_0001	acinar	1
human1_lib1.final_cell_0002	acinar	1
human1_lib1.final_cell_0003	acinar	1
human1_lib1.final_cell_0004	acinar	1
human1_lib1.final_cell_0005	acinar	1
human1_lib1.final_cell_0006	acinar	1
human1_lib1.final_cell_0007	beta	4
human1_lib1.final_cell_0008	acinar	1
human1_lib1.final_cell_0009	acinar	1
human1_lib1.final_cell_0010	acinar	1
human1_lib1.final_cell_0011	acinar	1
human1_lib1.final_cell_0012	acinar	1
human1_lib1.final_cell_0013	delta	5
human1_lib1.final_cell_0014	delta	5
human1_lib1.final_cell_0015	beta	4
human1_lib1.final_cell_0016	activated_stellate	2
human1_lib1.final_cell_0017	beta	4
human1_lib1.final_cell_0018	acinar	1
human1_lib1.final_cell_0019	ductal	6
human1_lib1.final_cell_0020	beta	4
human1_lib1.final_cell_0021	beta	4
human1_lib1.final_cell_0022	alpha	3
human1_lib1.final_cell_0023	ductal	6
human1_lib1.final_cell_0024	beta	4
human1_lib1.final_cell_0025	delta	5
human1_lib1.final_cell_0026	alpha	3
human1_lib1.final_cell_0027	beta	4
human1_lib1.final_cell_0028	acinar	1
human1_lib1.final_cell_0029	acinar	1
human1_lib1.final_cell_0030	beta	4
human1_lib1.final_cell_0031	delta	5
human1_lib1.final_cell_0032	delta	5
human1_lib1.final_cell_0033	delta	5
human1_lib1.final_cell_0034	delta	5
human1_lib1.final_cell_0035	beta	4
human1_lib1.final_cell_0036	acinar	1
human1_lib1.final_cell_0037	beta	4
human1_lib1.final_cell_0038	beta	4
human1_lib1.final_cell_0039	beta	4
human1_lib1.final_cell_0040	delta	5
human1_lib1.final_cell_0041	activated_stellate	2
human1_lib1.final_cell_0042	beta	4
human1_lib1.final_cell_0043	delta	5
human1_lib1.final_cell_0044	activated_stellate	2
human1_lib1.final_cell_0045	activated_stellate	2
human1_lib1.final_cell_0046	activated_stellate	2
human1_lib1.final_cell_0047	acinar	1
human1_lib1.final_cell_0048	activated_stellate	2
human1_lib1.final_cell_0049	delta	5
human1_lib1.final_cell_0050	beta	4
human1_lib1.final_cell_0051	delta	5
human1_lib1.final_cell_0052	beta	4
human1_lib1.final_cell_0053	acinar	1
human1_lib1.final_cell_0054	beta	4
human1_lib1.final_cell_0055	beta	4
human1_lib1.final_cell_0056	activated_stellate	2
human1_lib1.final_cell_0057	beta	4
human1_lib1.final_cell_0058	beta	4
human1_lib1.final_cell_0059	beta	4
human1_lib1.final_cell_0060	beta	4
human1_lib1.final_cell_0061	ductal	6
human1_lib1.final_cell_0062	alpha	3
human1_lib1.final_cell_0063	beta	4
human1_lib1.final_cell_0064	ductal	6
human1_lib1.final_cell_0065	ductal	6
human1_lib1.final_cell_0066	acinar	1
human1_lib1.final_cell_0067	alpha	3
human1_lib1.final_cell_0068	beta	4
human1_lib1.final_cell_0069	delta	5
human1_lib1.final_cell_0070	alpha	3
human1_lib1.final_cell_0071	beta	4
human1_lib1.final_cell_0072	beta	4
human1_lib1.final_cell_0073	beta	4
human1_lib1.final_cell_0074	delta	5
human1_lib1.final_cell_0075	beta	4
human1_lib1.final_cell_0076	beta	4
human1_lib1.final_cell_0077	delta	5
human1_lib1.final_cell_0078	beta	4
human1_lib1.final_cell_0079	beta	4
human1_lib1.final_cell_0080	beta	4
human1_lib1.final_cell_0081	beta	4
human1_lib1.final_cell_0082	beta	4
human1_lib1.final_cell_0083	beta	4
human1_lib1.final_cell_0084	acinar	1
human1_lib1.final_cell_0085	activated_stellate	2
human1_lib1.final_cell_0086	delta	5
human1_lib1.final_cell_0087	delta	5
human1_lib1.final_cell_0088	beta	4
human1_lib1.final_cell_0089	beta	4
human1_lib1.final_cell_0090	beta	4
human1_lib1.final_cell_0091	beta	4
human1_lib1.final_cell_0092	beta	4
human1_lib1.final_cell_0093	beta	4
human1_lib1.final_cell_0094	beta	4
human1_lib1.final_cell_0095	beta	4
human1_lib1.final_cell_0096	beta	4
human1_lib1.final_cell_0097	beta	4
human1_lib1.final_cell_0098	delta	5
human1_lib1.final_cell_0099	delta	5
human1_lib1.final_cell_0100	beta	4
human1_lib1.final_cell_0101	delta	5
human1_lib1.final_cell_0102	alpha	3
human1_lib1.final_cell_0103	alpha	3
human1_lib1.final_cell_0104	delta	5
human1_lib1.final_cell_0105	beta	4
human1_lib1.final_cell_0106	beta	4
human1_lib1.final_cell_0107	beta	4
human1_lib1.final_cell_0108	beta	4
human1_lib1.final_cell_0109	acinar	1
human1_lib1.final_cell_0110	delta	5
human1_lib1.final_cell_0111	beta	4
human1_lib1.final_cell_0112	beta	4
human1_lib1.final_cell_0113	delta	5
human1_lib1.final_cell_0114	beta	4
human1_lib1.final_cell_0115	beta	4
human1_lib1.final_cell_0116	beta	4
human1_lib1.final_cell_0117	delta	5
human1_lib1.final_cell_0118	beta	4
human1_lib1.final_cell_0119	delta	5
human1_lib1.final_cell_0120	beta	4
human1_lib1.final_cell_0121	beta	4
